"","PC1","PC2","group","uconds","strains","nutrient","name"
"002-glc-cd103",-37.810495625983,2.36050161559306,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","002-glc-cd103"
"002-glc-sh07",-29.3170011285038,2.40669063778692,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","002-glc-sh07"
"02-glc-cd103",20.0597344949352,-7.78408510454398,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","02-glc-cd103"
"02-glc-sh07",-28.3043941088942,8.01283538163646,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","02-glc-sh07"
"2-ace-cd103",-21.4960361330487,-20.4546476412859,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","2-ace-cd103"
"2-ace-sh07",-22.9887797509206,-18.062720736557,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","2-ace-sh07"
"2-fru-cd103",25.9034243421113,7.26617651898987,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","2-fru-cd103"
"2-fru-sh07",-9.27161364111727,26.5439651832796,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","2-fru-sh07"
"2-gal-cd103",7.96341622676524,19.6881925515503,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","2-gal-cd103"
"2-gal-sh07",2.52799034363687,24.677729895603,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","2-gal-sh07"
"2-glc-cd103",21.1856628851921,1.8451828489285,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","2-glc-cd103"
"2-glc-sh07",-10.8831691854436,22.403870559567,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","2-glc-sh07"
"2-mal-cd103",8.28757311178708,17.8452383506109,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","2-mal-cd103"
"2-mal-sh07",10.8208604869577,21.748048809172,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","2-mal-sh07"
"2-raf-cd103",-18.7851087210701,9.82691543302488,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","2-raf-cd103"
"2-raf-sh07",-9.8955489368761,-13.441312065564,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","2-raf-sh07"
"002-glc-a28y",-21.1726815153424,-10.0424085036713,"002-glc-a28y:a28y:002-glc","002-glc-a28y","a28y","002-glc","002-glc-a28y"
"02-glc-a28y",35.1526799590385,-10.1896749254586,"02-glc-a28y:a28y:02-glc","02-glc-a28y","a28y","02-glc","02-glc-a28y"
"2-ace-a28y",-15.5500782834899,-23.2490469454482,"2-ace-a28y:a28y:2-ace","2-ace-a28y","a28y","2-ace","2-ace-a28y"
"2-fru-a28y",32.9927401694191,-6.5641176916293,"2-fru-a28y:a28y:2-fru","2-fru-a28y","a28y","2-fru","2-fru-a28y"
"2-gal-a28y",5.89049256555303,-14.6731745054468,"2-gal-a28y:a28y:2-gal","2-gal-a28y","a28y","2-gal","2-gal-a28y"
"2-glc-a28y",35.9543635594564,-9.59873910508762,"2-glc-a28y:a28y:2-glc","2-glc-a28y","a28y","2-glc","2-glc-a28y"
"2-mal-a28y",27.5309723598142,-12.0306927065807,"2-mal-a28y:a28y:2-mal","2-mal-a28y","a28y","2-mal","2-mal-a28y"
"2-raf-a28y",-8.79500347397705,-18.5347278544693,"2-raf-a28y:a28y:2-raf","2-raf-a28y","a28y","2-raf","2-raf-a28y"
