"","PC1","PC2","group","uconds","strains","nutrient","name"
"002-glc-cd103",-4.34103179121746,-2.03045120710803,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","002-glc-cd103"
"002-glc-sh07",-2.99387552323546,-1.23785019816703,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","002-glc-sh07"
"02-glc-cd103",1.9571923740503,2.13736885675748,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","02-glc-cd103"
"02-glc-sh07",-2.81230098487583,-1.49981510526074,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","02-glc-sh07"
"2-ace-cd103",-3.29447865763142,-2.45457944920146,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","2-ace-cd103"
"2-ace-sh07",-2.65587282787134,-2.83280696639033,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","2-ace-sh07"
"2-fru-cd103",1.93103767044492,3.69611777870835,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","2-fru-cd103"
"2-fru-sh07",-5.48115794807454,2.40233535067075,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","2-fru-sh07"
"2-gal-cd103",-1.23768065241996,1.58592740260336,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","2-gal-cd103"
"2-gal-sh07",-2.38867075168202,1.4000240757654,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","2-gal-sh07"
"2-glc-cd103",1.19735148613323,2.91429999121386,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","2-glc-cd103"
"2-glc-sh07",-3.34868493682226,0.514886097330926,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","2-glc-sh07"
"2-mal-cd103",-1.22214469275436,2.64441601926957,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","2-mal-cd103"
"2-mal-sh07",-1.65482545305227,3.64021139683909,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","2-mal-sh07"
"2-raf-cd103",-2.97682437740469,-0.699127283748271,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","2-raf-cd103"
"2-raf-sh07",5.24794197898832,-4.40477065089027,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","2-raf-sh07"
"002-glc-a28y",0.36593864217615,-2.5151616750632,"002-glc-a28y:a28y:002-glc","002-glc-a28y","a28y","002-glc","002-glc-a28y"
"02-glc-a28y",4.68376127651607,1.35054271245859,"02-glc-a28y:a28y:02-glc","02-glc-a28y","a28y","02-glc","02-glc-a28y"
"2-ace-a28y",1.60667074848077,-5.31797229709165,"2-ace-a28y:a28y:2-ace","2-ace-a28y","a28y","2-ace","2-ace-a28y"
"2-fru-a28y",3.32551661765839,1.78920886087851,"2-fru-a28y:a28y:2-fru","2-fru-a28y","a28y","2-fru","2-fru-a28y"
"2-gal-a28y",2.26721870707632,-0.293440359462763,"2-gal-a28y:a28y:2-gal","2-gal-a28y","a28y","2-gal","2-gal-a28y"
"2-glc-a28y",4.51647561274942,1.8488631470999,"2-glc-a28y:a28y:2-glc","2-glc-a28y","a28y","2-glc","2-glc-a28y"
"2-mal-a28y",4.81515277303823,-0.252868183812669,"2-mal-a28y:a28y:2-mal","2-mal-a28y","a28y","2-mal","2-mal-a28y"
"2-raf-a28y",2.49329070972948,-2.38535831339937,"2-raf-a28y:a28y:2-raf","2-raf-a28y","a28y","2-raf","2-raf-a28y"
