"","PC1","PC2","group","uconds","strains","nutrient","name"
"002-glc-cd103",-1.77666306186245,-0.302253887255578,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","002-glc-cd103"
"002-glc-sh07",-1.28836303811146,-0.252584796244737,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","002-glc-sh07"
"02-glc-cd103",0.286107128617878,0.137922577539851,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","02-glc-cd103"
"02-glc-sh07",-1.10189742109198,-0.350094346702692,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","02-glc-sh07"
"2-ace-cd103",-0.239424280584923,-1.22644575925628,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","2-ace-cd103"
"2-ace-sh07",-0.185691907412685,-1.32190733161157,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","2-ace-sh07"
"2-fru-cd103",0.837555331373559,0.894242712852189,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","2-fru-cd103"
"2-fru-sh07",-1.59458639056389,0.410788786479898,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","2-fru-sh07"
"2-gal-cd103",-1.03150281128242,0.368036598508655,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","2-gal-cd103"
"2-gal-sh07",-1.22491667112687,0.243166448600888,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","2-gal-sh07"
"2-glc-cd103",0.476276712797631,0.882420989609907,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","2-glc-cd103"
"2-glc-sh07",-1.54495261505374,0.36293123082766,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","2-glc-sh07"
"2-mal-cd103",-1.05963446719225,0.833878065065221,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","2-mal-cd103"
"2-mal-sh07",-1.26168129428102,0.563734496013424,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","2-mal-sh07"
"2-raf-cd103",-0.940010966682358,-0.238687858276871,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","2-raf-cd103"
"2-raf-sh07",2.60511580323149,-0.620439593720683,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","2-raf-sh07"
"002-glc-a28y",-0.217038362016913,-0.885970446862722,"002-glc-a28y:a28y:002-glc","002-glc-a28y","a28y","002-glc","002-glc-a28y"
"02-glc-a28y",1.68273393229987,0.539089679239478,"02-glc-a28y:a28y:02-glc","02-glc-a28y","a28y","02-glc","02-glc-a28y"
"2-ace-a28y",0.883080284178123,-0.632870233670562,"2-ace-a28y:a28y:2-ace","2-ace-a28y","a28y","2-ace","2-ace-a28y"
"2-fru-a28y",1.18481934854307,0.460373955279845,"2-fru-a28y:a28y:2-fru","2-fru-a28y","a28y","2-fru","2-fru-a28y"
"2-gal-a28y",1.09739950497359,-0.165347416394096,"2-gal-a28y:a28y:2-gal","2-gal-a28y","a28y","2-gal","2-gal-a28y"
"2-glc-a28y",1.96714733557044,0.631145818996807,"2-glc-a28y:a28y:2-glc","2-glc-a28y","a28y","2-glc","2-glc-a28y"
"2-mal-a28y",1.38757157324118,0.268761168652475,"2-mal-a28y:a28y:2-mal","2-mal-a28y","a28y","2-mal","2-mal-a28y"
"2-raf-a28y",1.05855633243613,-0.599890857670492,"2-raf-a28y:a28y:2-raf","2-raf-a28y","a28y","2-raf","2-raf-a28y"
