"","PC1","PC2","group","uconds","strains","nutrient","name"
"002-glc-cd103",-3.84845380693773,1.82916874547819,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","002-glc-cd103"
"002-glc-sh07",-3.22094041596425,0.696976422582112,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","002-glc-sh07"
"02-glc-cd103",3.09997904159683,-1.77030730823103,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","02-glc-cd103"
"02-glc-sh07",-3.00089112097594,-1.22991731535315,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","02-glc-sh07"
"2-ace-cd103",-4.64793853604301,5.85152826001911,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","2-ace-cd103"
"2-ace-sh07",-4.24510223952444,4.95793209022555,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","2-ace-sh07"
"2-fru-cd103",7.04222816784199,0.322963397705967,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","2-fru-cd103"
"2-fru-sh07",2.15699125166174,-3.63123355847537,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","2-fru-sh07"
"2-gal-cd103",-2.62944388778643,-3.17173708092286,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","2-gal-cd103"
"2-gal-sh07",-3.0691920893415,-4.6631026936462,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","2-gal-sh07"
"2-glc-cd103",6.36052098763708,-1.61360387302611,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","2-glc-cd103"
"2-glc-sh07",-3.46030677720106,-4.56938501673938,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","2-glc-sh07"
"2-mal-cd103",-1.39296339413579,-2.63428291206765,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","2-mal-cd103"
"2-mal-sh07",-5.01563803948266,-3.96620797236353,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","2-mal-sh07"
"2-raf-cd103",-2.54706574154101,-0.112070510951061,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","2-raf-cd103"
"2-raf-sh07",0.467524003256162,3.21214078896713,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","2-raf-sh07"
"002-glc-a28y",-0.94847806759855,0.766067553581307,"002-glc-a28y:a28y:002-glc","002-glc-a28y","a28y","002-glc","002-glc-a28y"
"02-glc-a28y",7.81912973331809,1.88298242805058,"02-glc-a28y:a28y:02-glc","02-glc-a28y","a28y","02-glc","02-glc-a28y"
"2-ace-a28y",-2.8077697757088,5.50130515133155,"2-ace-a28y:a28y:2-ace","2-ace-a28y","a28y","2-ace","2-ace-a28y"
"2-fru-a28y",6.90210349478654,0.835515064197528,"2-fru-a28y:a28y:2-fru","2-fru-a28y","a28y","2-fru","2-fru-a28y"
"2-gal-a28y",-1.85225812482515,1.49904460912849,"2-gal-a28y:a28y:2-gal","2-gal-a28y","a28y","2-gal","2-gal-a28y"
"2-glc-a28y",8.33180250120573,0.560605441165122,"2-glc-a28y:a28y:2-glc","2-glc-a28y","a28y","2-glc","2-glc-a28y"
"2-mal-a28y",-0.90711545056512,-2.5454930991902,"2-mal-a28y:a28y:2-mal","2-mal-a28y","a28y","2-mal","2-mal-a28y"
"2-raf-a28y",1.41327828632728,1.9911113885339,"2-raf-a28y:a28y:2-raf","2-raf-a28y","a28y","2-raf","2-raf-a28y"
