,on_level,off_level,on_sigma,off_sigma,on_fraction,off_fraction,id,gal,glc,muThresh
0,0.0,1.0273960550300547,0.0,0.017054874977795478,0.0,1.0,1,0.000244140625,0.5,1.8322607133736906
1,0.0,1.0172941765347459,0.0,0.014678762360498315,0.0,1.0,2,0.00048828125,0.5,1.8322607133736906
2,,1.0511959490798564,,0.03108722281302341,0.0,1.0,3,0.0009765625,0.5,1.8322607133736906
3,,1.0558788432988067,,0.028975871706020766,0.0,1.0,4,0.001953125,0.5,1.8322607133736906
4,0.0,0.9944582817702667,0.0,0.022447995306183254,0.0,1.0,5,0.00390625,0.5,1.8322607133736906
5,,1.0593368749587186,,0.026160819719659643,0.0,1.0,6,0.0078125,0.5,1.8322607133736906
6,,1.053890412452652,,0.042579391136608566,0.0,1.0,7,0.015625,0.5,1.8322607133736906
7,0.0,1.031198320875509,0.0,0.01852188304499554,0.0,1.0,8,0.03125,0.5,1.8322607133736906
8,0.0,1.0336829939823815,0.0,0.01667485647845548,0.0,1.0,9,0.0625,0.5,1.8322607133736906
9,0.0,1.020874748994043,0.0,0.030894657895880834,0.0,1.0,10,0.125,0.5,1.8322607133736906
10,0.0,1.063075279482105,0.0,0.03838290865020348,0.0,1.0,11,0.25,0.5,1.8322607133736906
11,2.5385601237852513,1.0429829681734302,0.29576161912992077,0.04627317004899069,0.3481065429375684,0.6518934570624316,12,0.5,0.5,1.8322607133736906
12,,1.0526664725953259,,0.032731940086144946,0.0,1.0,13,0.000244140625,0.25,1.8322607133736906
13,,1.050871192039201,,0.025891738115611445,0.0,1.0,14,0.00048828125,0.25,1.8322607133736906
14,,1.0552375178087767,,0.03405052259123411,0.0,1.0,15,0.0009765625,0.25,1.8322607133736906
15,0.0,1.0165220982693728,0.0,0.011331432783107503,0.0,1.0,16,0.001953125,0.25,1.8322607133736906
16,0.0,1.0346615730222348,0.0,0.01599783914892486,0.0,1.0,17,0.00390625,0.25,1.8322607133736906
17,,1.057108998007001,,0.026933973710189737,0.0,1.0,18,0.0078125,0.25,1.8322607133736906
18,,1.056565652016165,,0.03421800379198353,0.0,1.0,19,0.015625,0.25,1.8322607133736906
19,0.0,1.0284705622110262,0.0,0.02369591130478927,0.0,1.0,20,0.03125,0.25,1.8322607133736906
20,0.0,1.0446650460270495,0.0,0.028289717429470614,0.0,1.0,21,0.0625,0.25,1.8322607133736906
21,0.0,1.0526027431862641,0.0,0.034884725158583096,0.0,1.0,22,0.125,0.25,1.8322607133736906
22,1.8606530282095437,1.0890623432439317,0.27871894751922843,0.04045724926249219,0.1197916996293751,0.8802083003706249,23,0.25,0.25,1.8322607133736906
23,2.136979769427669,1.1058642134621797,0.3101073067285702,0.04360168255835646,0.2509017238059714,0.7490982761940286,24,0.5,0.25,1.8322607133736906
24,0.0,1.0452939437140598,0.0,0.016086326364488205,0.0,1.0,25,0.000244140625,0.125,1.8322607133736906
25,,1.0536465613573434,,0.03200465681035729,0.0,1.0,26,0.00048828125,0.125,1.8322607133736906
26,,1.0642850060368394,,0.036542407296653125,0.0,1.0,27,0.0009765625,0.125,1.8322607133736906
27,,1.060005967806168,,0.02813254465384364,0.0,1.0,28,0.001953125,0.125,1.8322607133736906
28,,1.0641694864811901,,0.03174072019042769,0.0,1.0,29,0.00390625,0.125,1.8322607133736906
29,0.0,1.0283999057552136,0.0,0.021162874936977282,0.0,1.0,30,0.0078125,0.125,1.8322607133736906
30,0.0,1.047287544632225,0.0,0.02394938203356988,0.0,1.0,31,0.015625,0.125,1.8322607133736906
31,0.0,1.0656019303908406,0.0,0.03528727464890004,0.0,1.0,32,0.03125,0.125,1.8322607133736906
32,2.1110272756359847,1.0647524988050936,0.3537549776148187,0.03946093054497442,0.1021285433094822,0.8978714566905178,33,0.0625,0.125,1.8322607133736906
