,on_level,off_level,on_sigma,off_sigma,on_fraction,off_fraction,id,gal,glc,muThresh
0,0.0,1.0274750436595357,0.0,0.017069422726536377,0.0,1.0,1,0.000244140625,0.5,1.8322607133736906
1,0.0,1.0167203107195077,0.0,0.014582835948267871,0.0,1.0,2,0.00048828125,0.5,1.8322607133736906
2,,1.0511959490798564,,0.03108722281302341,0.0,1.0,3,0.0009765625,0.5,1.8322607133736906
3,,1.0558788432988067,,0.028975871706020766,0.0,1.0,4,0.001953125,0.5,1.8322607133736906
4,0.0,0.9962645410198738,0.0,0.022454144608608027,0.0,1.0,5,0.00390625,0.5,1.8322607133736906
5,,1.0593368749587186,,0.026160819719659643,0.0,1.0,6,0.0078125,0.5,1.8322607133736906
6,,1.053890412452652,,0.042579391136608566,0.0,1.0,7,0.015625,0.5,1.8322607133736906
7,0.0,1.031198320875509,0.0,0.01852188304499554,0.0,1.0,8,0.03125,0.5,1.8322607133736906
8,0.0,1.0336588286023922,0.0,0.016666638645767513,0.0,1.0,9,0.0625,0.5,1.8322607133736906
9,0.0,1.020915531644209,0.0,0.03091173996394813,0.0,1.0,10,0.125,0.5,1.8322607133736906
10,0.0,1.063075279482105,0.0,0.03838290865020348,0.0,1.0,11,0.25,0.5,1.8322607133736906
11,2.5385601237852513,1.0429829681734302,0.29576161912992077,0.04627317004899069,0.3481065429375684,0.6518934570624316,12,0.5,0.5,1.8322607133736906
12,,1.0526664725953259,,0.032731940086144946,0.0,1.0,13,0.000244140625,0.25,1.8322607133736906
13,,1.050871192039201,,0.025891738115611445,0.0,1.0,14,0.00048828125,0.25,1.8322607133736906
14,,1.0552375178087767,,0.03405052259123411,0.0,1.0,15,0.0009765625,0.25,1.8322607133736906
15,0.0,1.0155023514800392,0.0,0.011305304024004738,0.0,1.0,16,0.001953125,0.25,1.8322607133736906
16,0.0,1.0363721631649718,0.0,0.015653880116114825,0.0,1.0,17,0.00390625,0.25,1.8322607133736906
17,,1.057108998007001,,0.026933973710189737,0.0,1.0,18,0.0078125,0.25,1.8322607133736906
18,,1.056565652016165,,0.03421800379198353,0.0,1.0,19,0.015625,0.25,1.8322607133736906
19,0.0,1.0283833785712064,0.0,0.023671572309427017,0.0,1.0,20,0.03125,0.25,1.8322607133736906
