,on_fraction,on_level,on_sigma,off_level,off_sigma,off_fraction,id,gal,glc,muThresh
0,0.0,,,1.0972006220702375,0.03906572958335011,1.0,1,0.000244140625,0.5,1.8481671916657278
1,0.0,,,1.0775902044041392,0.045694725787237635,1.0,2,0.00048828125,0.5,1.8481671916657278
2,0.0,0.0,0.0,0.9938867717282063,0.03442807170408454,1.0,3,0.0009765625,0.5,1.8481671916657278
3,0.0,,,1.0744180847252915,0.024084914052280814,1.0,4,0.001953125,0.5,1.8481671916657278
4,0.0,,,1.0817112752332632,0.050004090166436074,1.0,5,0.00390625,0.5,1.8481671916657278
5,0.0,,,1.081492282643866,0.04593186108662107,1.0,6,0.0078125,0.5,1.8481671916657278
6,0.0,,,1.0969786122626681,0.04772363897141358,1.0,7,0.015625,0.5,1.8481671916657278
7,0.0,,,1.1010103833766465,0.049015106569872714,1.0,8,0.03125,0.5,1.8481671916657278
8,0.0,,,1.0893417864492168,0.03310486421728996,1.0,9,0.0625,0.5,1.8481671916657278
9,0.0,0.0,0.0,1.0711224709432232,0.029901626895413237,1.0,10,0.125,0.5,1.8481671916657278
10,0.0,0.0,0.0,1.1093138955094923,0.01904123030941063,1.0,11,0.25,0.5,1.8481671916657278
11,0.0,0.0,0.0,1.1387396115250608,0.019924183600091464,1.0,12,0.5,0.5,1.8481671916657278
12,0.0,,,1.0890174216240287,0.0490614986070649,1.0,13,0.000244140625,0.25,1.8481671916657278
13,0.0,,,1.0993339357247849,0.03936583970675354,1.0,14,0.00048828125,0.25,1.8481671916657278
14,0.0,,,1.0946704433384233,0.0455599101759217,1.0,15,0.0009765625,0.25,1.8481671916657278
15,0.0,,,1.081181563372605,0.042802021016153345,1.0,16,0.001953125,0.25,1.8481671916657278
16,0.0,,,1.0947801319019959,0.04491413743091735,1.0,17,0.00390625,0.25,1.8481671916657278
17,0.0,,,1.0944769477604495,0.04432402019246323,1.0,18,0.0078125,0.25,1.8481671916657278
18,0.0,,,1.1059514349794788,0.042494117071760595,1.0,19,0.015625,0.25,1.8481671916657278
19,0.0,0.0,0.0,1.021005252269224,0.029227802433928255,1.0,20,0.03125,0.25,1.8481671916657278
20,0.0,0.0,0.0,1.056933131317772,0.02739775390985744,1.0,21,0.0625,0.25,1.8481671916657278
21,0.0,0.0,0.0,1.0518285194982373,0.029951338912825955,1.0,22,0.125,0.25,1.8481671916657278
22,0.0,0.0,0.0,1.1060752999061523,0.03549050618845007,1.0,23,0.25,0.25,1.8481671916657278
23,0.0,0.0,0.0,1.146963852940189,0.03809590096738393,1.0,24,0.5,0.25,1.8481671916657278
24,0.0,0.0,0.0,0.9950873763125029,0.028922642689840097,1.0,25,0.000244140625,0.125,1.8481671916657278
25,0.0,,,1.0793645482816092,0.04752390461607084,1.0,26,0.00048828125,0.125,1.8481671916657278
26,0.0,,,1.0943602075245387,0.04818899118180181,1.0,27,0.0009765625,0.125,1.8481671916657278
27,0.0,,,1.0717976711480501,0.04415999174002159,1.0,28,0.001953125,0.125,1.8481671916657278
28,0.0,,,1.0898680596967874,0.051272731501305034,1.0,29,0.00390625,0.125,1.8481671916657278
29,0.0,,,1.0829285076245538,0.04754651498280027,1.0,30,0.0078125,0.125,1.8481671916657278
30,0.0,0.0,0.0,1.0405293413296013,0.0319568672494543,1.0,31,0.015625,0.125,1.8481671916657278
31,0.0,0.0,0.0,1.0798600074289069,0.03322278685649523,1.0,32,0.03125,0.125,1.8481671916657278
32,0.0,0.0,0.0,1.107384660712817,0.04178608187581239,1.0,33,0.0625,0.125,1.8481671916657278
33,0.0,0.0,0.0,1.0972906022611,0.02813462139651418,1.0,34,0.125,0.125,1.8481671916657278
34,0.0,0.0,0.0,1.1151878016876806,0.052329815490979696,1.0,35,0.25,0.125,1.8481671916657278
35,0.1685972206661658,2.395316578429059,0.38466893975292227,1.1810193718128676,0.048650299703154626,0.8314027793338342,36,0.5,0.125,1.8481671916657278
36,0.0,,,1.0818344587267628,0.0447487981295726,1.0,37,0.000244140625,0.0625,1.8481671916657278
37,0.0,,,1.0875370923647356,0.04241767915970822,1.0,38,0.00048828125,0.0625,1.8481671916657278
38,0.0,,,1.1027520767732957,0.04568972012265762,1.0,39,0.0009765625,0.0625,1.8481671916657278
39,0.0,,,1.0988817017682935,0.040039998132454575,1.0,40,0.001953125,0.0625,1.8481671916657278
40,0.0,0.0,0.0,1.0129931847726001,0.033919160287205576,1.0,41,0.00390625,0.0625,1.8481671916657278
41,0.0,0.0,0.0,1.0608274695781619,0.03090977059954521,1.0,42,0.0078125,0.0625,1.8481671916657278
42,0.0,0.0,0.0,1.0944100272222397,0.047772920359258605,1.0,43,0.015625,0.0625,1.8481671916657278
43,0.0,0.0,0.0,1.0821610748470263,0.05041074787820727,1.0,44,0.03125,0.0625,1.8481671916657278
44,0.14297671027952666,2.484158771919143,0.5350775743583331,1.107524493461811,0.04558929800799966,0.8570232897204733,45,0.0625,0.0625,1.8481671916657278
45,0.17568875329166286,2.620031737491726,0.5054037720199899,1.1103642070686865,0.05259065240588395,0.8243112467083371,46,0.125,0.0625,1.8481671916657278
46,0.23725512598361342,2.6047713773874177,0.49648803795833657,1.1068105644662356,0.05416044742497289,0.7627448740163866,47,0.25,0.0625,1.8481671916657278
47,0.49321327745175125,2.7885215474576537,0.4183020491375488,1.1472720820495474,0.05379121217244274,0.5067867225482486,48,0.5,0.0625,1.8481671916657278
48,0.0,,,1.0834352011616746,0.04884511662751772,1.0,49,0.000244140625,0.03125,1.8481671916657278
49,0.0,0.0,0.0,1.043960237448231,0.028235211093533295,1.0,50,0.00048828125,0.03125,1.8481671916657278
50,0.0,,,1.0852073433709213,0.04909537859229698,1.0,51,0.0009765625,0.03125,1.8481671916657278
51,0.0,0.0,0.0,0.9971338059612119,0.03351451155718017,1.0,52,0.001953125,0.03125,1.8481671916657278
52,0.0,0.0,0.0,1.0796099460794126,0.04696774776621006,1.0,53,0.00390625,0.03125,1.8481671916657278
53,0.0,0.0,0.0,1.0872938962313916,0.05358979594623614,1.0,54,0.0078125,0.03125,1.8481671916657278
54,0.16778959950193695,2.776351427810282,0.41839041262541843,1.0796161407414115,0.04836880993309816,0.832210400498063,55,0.015625,0.03125,1.8481671916657278
55,0.25209394143700653,2.861111301635474,0.4127541079719527,1.0804773997634705,0.05180865957603736,0.7479060585629935,56,0.03125,0.03125,1.8481671916657278
56,0.36642409998813535,2.893996081914439,0.46955819639954244,1.0912734949054714,0.05726549740813404,0.6335759000118647,57,0.0625,0.03125,1.8481671916657278
57,0.46329103750465916,2.9867306212171276,0.42813793133856637,1.0961032742872023,0.06390373991752671,0.536708962495341,58,0.125,0.03125,1.8481671916657278
58,0.5784351770808295,3.064364190745817,0.3984350060974893,1.1119243060218094,0.06651536614621219,0.4215648229191705,59,0.25,0.03125,1.8481671916657278
59,0.7209619603184665,3.330478491580366,0.24559222186846744,1.3057710744358295,0.1912761199399495,0.27903803968153357,60,0.5,0.03125,1.8481671916657278
60,0.0,0.0,0.0,1.001679919719107,0.03126086490885984,1.0,61,0.000244140625,0.015625,1.8481671916657278
61,0.0,0.0,0.0,0.9935602348514069,0.034000879315682964,1.0,62,0.00048828125,0.015625,1.8481671916657278
62,0.0,0.0,0.0,1.0021460187476852,0.032645991502398906,1.0,63,0.0009765625,0.015625,1.8481671916657278
63,0.0,0.0,0.0,1.0504151650534987,0.044188718301012696,1.0,64,0.001953125,0.015625,1.8481671916657278
64,0.14345281127770218,2.835789939040788,0.35500508551832366,1.0628368231238827,0.05054158631429102,0.8565471887222978,65,0.00390625,0.015625,1.8481671916657278
65,0.276091903022809,3.0633443792874067,0.3145311333094197,1.0651794245938924,0.05152845510212564,0.723908096977191,66,0.0078125,0.015625,1.8481671916657278
66,0.432085776873033,3.199942617640506,0.29781806681097833,1.0650705756165697,0.057850666383537336,0.567914223126967,67,0.015625,0.015625,1.8481671916657278
67,0.5453320606405929,3.267216385739225,0.29837801189952934,1.062483276709061,0.07310907154978626,0.45466793935940714,68,0.03125,0.015625,1.8481671916657278
68,0.6409444916640356,3.376211704216629,0.25402435635138604,1.1110694297665862,0.11532814543248818,0.3590555083359646,69,0.0625,0.015625,1.8481671916657278
69,0.7268981134355665,3.5039135511488606,0.2129325449202061,1.2829517117390983,0.25606312361093325,0.27310188656443346,70,0.125,0.015625,1.8481671916657278
70,0.7645413690139243,3.585431500279247,0.09525320215660993,1.630752608012116,0.46403908992193577,0.2354586309860757,71,0.25,0.015625,1.8481671916657278
71,0.897995671851945,3.694678992525383,0.10617053814512072,1.8456587227926409,0.6543983753989676,0.102004328148055,72,0.5,0.015625,1.8481671916657278
72,0.0,,,1.0404509574857579,0.05089499630264002,1.0,73,0.000244140625,0.0078125,1.8481671916657278
73,0.0,0.0,0.0,0.9933233373104884,0.029808424832079693,1.0,74,0.00048828125,0.0078125,1.8481671916657278
74,0.0,0.0,0.0,1.024845327170151,0.04526878164157005,1.0,75,0.0009765625,0.0078125,1.8481671916657278
75,0.13894800554451336,3.1064143970188463,0.24584492971883048,1.047348757204966,0.05994280185670636,0.8610519944554866,76,0.001953125,0.0078125,1.8481671916657278
76,0.4165235576654331,3.3417249786954555,0.1785585028401002,1.06341458448751,0.07014057024244844,0.5834764423345671,77,0.00390625,0.0078125,1.8481671916657278
77,0.619780703050095,3.5111240889243596,0.13575729274610687,1.1010979742604365,0.09569512149878959,0.38021929694990503,78,0.0078125,0.0078125,1.8481671916657278
78,0.7448628327495249,3.5728543418600887,0.12506461010207334,1.1547279291347445,0.15343830414621218,0.25513716725047514,79,0.015625,0.0078125,1.8481671916657278
79,0.8280454808259747,3.616661582539543,0.11770681946908425,1.1593120557664593,0.18510933360659917,0.17195451917402527,80,0.03125,0.0078125,1.8481671916657278
80,0.8493904938471416,3.723965265604481,0.09222146570044036,1.5281101131797676,0.5183878942781617,0.1506095061528583,81,0.0625,0.0078125,1.8481671916657278
81,1.0,3.7112576493810128,0.08669697264496362,,,0.0,82,0.125,0.0078125,1.8481671916657278
82,1.0,3.7434169154454926,0.08430711453879772,,,0.0,83,0.25,0.0078125,1.8481671916657278
83,1.0,3.7383809907030425,0.07839794903234705,,,0.0,84,0.5,0.0078125,1.8481671916657278
84,0.0,0.0,0.0,0.9914643849210293,0.0422952709541408,1.0,85,0.000244140625,0.00390625,1.8481671916657278
85,0.0,0.0,0.0,1.0368002254325601,0.031963626970149435,1.0,86,0.00048828125,0.00390625,1.8481671916657278
86,0.0,0.0,0.0,1.127706535998358,0.04538188411050045,1.0,87,0.0009765625,0.00390625,1.8481671916657278
