,on_level,off_level,on_sigma,off_sigma,on_fraction,off_fraction,id,gal,glc,muThresh
0,0.0,1.0308823332767247,0.0,0.08086054820086246,0.0,1.0,1,0.000244140625,0.5,1.8342858148833991
1,,1.1853255054772032,,0.10359000836108169,0.0,1.0,2,0.00048828125,0.5,1.8342858148833991
2,,1.1919130624767558,,0.10205337113753032,0.0,1.0,3,0.0009765625,0.5,1.8342858148833991
3,,1.2002322147552889,,0.12073566340142894,0.0,1.0,4,0.001953125,0.5,1.8342858148833991
4,,1.2105006575998847,,0.10164642710815942,0.0,1.0,5,0.00390625,0.5,1.8342858148833991
5,0.0,1.213292353186468,0.0,0.04720359542370307,0.0,1.0,6,0.0078125,0.5,1.8342858148833991
6,0.0,1.2327434248121778,0.0,0.09957287084557473,0.0,1.0,7,0.015625,0.5,1.8342858148833991
7,2.5382897556319306,1.3986201332444823,0.33515460331165214,0.15699809188938413,0.23932847444767533,0.7606715255523245,8,0.03125,0.5,1.8342858148833991
8,2.8875704514102885,1.6564494385395776,0.25410355963132253,0.21812900312674807,0.3732527876276843,0.6267472123723157,9,0.0625,0.5,1.8342858148833991
9,2.462266416201481,,0.5774426150124572,,1.0,0.0,10,0.125,0.5,1.8342858148833991
10,3.444801570934049,2.6611721935171784,0.13051199563411606,0.43185262772647043,0.721884288708843,0.2781157112911569,12,0.5,0.5,1.8342858148833991
11,,1.195951267905342,,0.12403833210197998,0.0,1.0,13,0.000244140625,0.25,1.8342858148833991
12,,1.1891502043898123,,0.1172793734606509,0.0,1.0,14,0.00048828125,0.25,1.8342858148833991
13,,1.1982842563307405,,0.0839644119555727,0.0,1.0,15,0.0009765625,0.25,1.8342858148833991
14,,1.1994357594755938,,0.09215452300278267,0.0,1.0,16,0.001953125,0.25,1.8342858148833991
15,,1.217942500149206,,0.12402182103316242,0.0,1.0,17,0.00390625,0.25,1.8342858148833991
16,0.0,1.1901200657610884,0.0,0.09019138887821943,0.0,1.0,18,0.0078125,0.25,1.8342858148833991
17,2.423819235159629,1.358094099963544,0.42984495230876774,0.1524988273188503,0.19587834056219586,0.8041216594378042,19,0.015625,0.25,1.8342858148833991
18,2.8422619362667976,1.5940302750022293,0.290133020957208,0.21327445139909756,0.36924109738952676,0.6307589026104733,20,0.03125,0.25,1.8342858148833991
19,2.3847428382650353,,0.5777828280098362,,1.0,0.0,21,0.0625,0.25,1.8342858148833991
